"id","type","name","email","phone","details","status","createdAt"
"1","consultation","Nguyen Van A","nguyenvana@gmail.com","0901234567","{""message"":""Tôi muốn tư vấn về dịch vụ Head Spa""}","new","2026-01-15 10:49:06.543"
"2","contact","Tran Thi B","tranthib@gmail.com","0912345678","{""service"":""Eyelash Extensions"",""date"":""2026-01-15"",""time"":""10:00""}","read","2026-01-15 10:49:06.93"
"3","contact","sa","ads@dsa.com","ád","{""service"":""anti-aging"",""date"":"""",""time"":"""",""message"":""sad""}","new","2026-01-09 08:05:36.676"
"4","consultation","Nguyen Van A","nguyenvana@gmail.com","0901234567","{""message"":""Tôi muốn tư vấn về dịch vụ Head Spa""}","new","2026-01-12 03:16:55.52"
"5","contact","Tran Thi B","tranthib@gmail.com","0912345678","{""service"":""Eyelash Extensions"",""date"":""2026-01-15"",""time"":""10:00""}","read","2026-01-12 03:16:55.528"
"6","voucher","ds","d@df.com","ad","{""amount"":""50"",""recipientName"":""sda"",""recipientEmail"":""d@df.com"",""message"":""sad""}","new","2026-01-12 04:03:01.632"
"7","contact","sa","ads@dsa.com","ád","{""service"":""anti-aging"",""date"":"""",""time"":"""",""message"":""sad""}","new","2026-01-09 08:05:36.676"
"8","consultation","Nguyen Van A","nguyenvana@gmail.com","0901234567","{""message"":""Tôi muốn tư vấn về dịch vụ Head Spa""}","new","2026-01-12 03:16:55.52"
"9","contact","Tran Thi B","tranthib@gmail.com","0912345678","{""service"":""Eyelash Extensions"",""date"":""2026-01-15"",""time"":""10:00""}","read","2026-01-12 03:16:55.528"
"10","voucher","ds","d@df.com","ad","{""amount"":""50"",""recipientName"":""sda"",""recipientEmail"":""d@df.com"",""message"":""sad""}","new","2026-01-12 04:03:01.632"
